"Nom produit";Référence;"Prix HT";Taxe;Actif;Catégorie
"Postal ""Maria escucha mis ruegos"" (ES)";68-UNITE;1.250000;"FR Taux standard (20%)";1;"Langues étrangères"
"Postcard ""Mary Hear my Prayer"" (EN)";67-UNITE;1.250000;"FR Taux standard (20%)";1;"Langues étrangères"
"Pourquoi la vierge Marie agit dans le monde aujourd'hui";221-UNITE;16.966825;"FR Taux réduit (5.5%)";1;Accueil
"Présence de Marie";184-UNITE;18.957346;"FR Taux réduit (5.5%)";1;Accueil
"Puzzle Marie qui défait les Noeuds";192-UNITE;16.583333;"FR Taux standard (20%)";1;Accueil
"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II";194-UNITE;4.265403;"FR Taux réduit (5.5%)";1;Accueil
"Saint Louis-Marie Grignion de Montfort";238-UNITE;6.540284;"FR Taux réduit (5.5%)";1;Accueil
"Segnalibro Confezione di 10 esemplari (IT)";65-LOT10;8.333333;"FR Taux standard (20%)";1;"Langues étrangères"
"Signet à la Miséricorde Divine";155-UNITE;0.833333;"FR Taux standard (20%)";1;Accueil
"Signet Marie qui défait les Noeuds ""Nouvelle version""";151-UNITE;0.833333;"FR Taux standard (20%)";1;Accueil
"Soyez rationnel, devenez catholique";116-UNITE;22.748815;"FR Taux réduit (5.5%)";1;Apologétique
"Soyez rationnel, devenez catholique ""Edition abrégée""";152-UNITE;15.165877;"FR Taux réduit (5.5%)";1;Accueil
"Statue Marie qui défait les nœuds - 22 cm";48-UNITE;29.166667;"FR Taux standard (20%)";1;Accueil
"Statuette Marie qui défait les nœuds - 11,5cm";74-UNITE;12.500000;"FR Taux standard (20%)";1;Accueil
"Thérèse de Lisieux et vous ""Je suis ta sœur et ton amie""";248-UNITE;9.383886;"FR Taux réduit (5.5%)";1;Accueil
"Traité de la vraie dévotion à la Sainte Vierge";154-UNITE;4.644550;"FR Taux réduit (5.5%)";1;Accueil
"Trésors de la spiritualité chrétienne: la Vierge Marie";179-UNITE;14.123223;"FR Taux réduit (5.5%)";1;Accueil
"Vie intérieure de la très sainte Vierge";178-UNITE;9.004739;"FR Taux réduit (5.5%)";1;Accueil
